player_name,player_id,team,season,strength,gp_r,points_r,gp_p,points_p,gp_r_career,gp_p_career,points_r_career,points_p_career,ppg_r_career,career_ppg_diff,fail,under_perform,career_games,career_playoff_games,delta_p_ppg,delta_diff_ppg
Aaron Dell,8477180,San Jose Sharks,2019,all,12,19,1,0,24,1,34,0,1.4166666666666667,-1.4166666666666667,yes,1,25,1,NA,NA
Aaron Ekblad,8477932,Florida Panthers,2020,all,67,41,4,0,231,4,116,0,0.5021645021645021,-0.5021645021645021,yes,1,431,34,NA,NA
Aaron Ekblad,8477932,Florida Panthers,2022,all,61,57,10,5,327,14,195,5,0.5963302752293578,-0.23918741808650062,yes,1,431,34,0.35714285714285715,0.2629770840780015
Aaron Ekblad,8477932,Florida Panthers,2023,all,70,37,20,8,397,34,232,13,0.5843828715365239,-0.20202993036005334,yes,1,431,34,0.02521008403361341,0.03715748772644728
Adam Boqvist,8480871,Chicago Blackhawks,2020,all,38,13,8,0,38,8,13,0,0.34210526315789475,-0.34210526315789475,yes,1,46,8,NA,NA
Adam Brooks,8478996,Toronto Maple Leafs,2021,all,11,5,2,0,16,2,8,0,0.5,-0.5,yes,1,18,2,NA,NA
Adam Clendening,8476431,Columbus Blue Jackets,2019,all,4,0,6,1,9,6,2,1,0.2222222222222222,-0.05555555555555555,yes,0,15,6,NA,NA
Adam Erne,8477454,Tampa Bay Lightning,2019,all,64,20,3,0,87,3,24,0,0.27586206896551724,-0.27586206896551724,yes,1,90,3,NA,NA
Adam Fox,8479323,New York Rangers,2020,all,70,42,3,0,70,3,42,0,0.6,-0.6,yes,1,313,30,NA,NA
Adam Fox,8479323,New York Rangers,2022,all,78,74,20,23,202,23,163,23,0.806930693069307,0.19306930693069302,no,0,313,30,1,0.793069306930693
Adam Fox,8479323,New York Rangers,2023,all,81,72,7,8,283,30,235,31,0.8303886925795053,0.20294464075382812,no,0,313,30,0.03333333333333344,0.009875333823135102
Adam Gaudette,8478874,Vancouver Canucks,2020,all,59,33,10,0,120,10,45,0,0.375,-0.375,yes,1,130,10,NA,NA
Adam Henrique,8474641,Anaheim Ducks,2018,all,81,50,4,0,81,4,50,0,0.6172839506172839,-0.6172839506172839,yes,1,85,4,NA,NA
Adam Larsson,8476457,Edmonton Oilers,2020,all,49,6,2,0,194,2,39,0,0.20103092783505155,-0.20103092783505155,yes,1,434,20,NA,NA
Adam Larsson,8476457,Edmonton Oilers,2021,all,56,10,4,2,250,6,49,2,0.196,0.1373333333333333,no,0,434,20,0.3333333333333333,0.33836426116838486
Adam Larsson,8476457,Seattle Kraken,2023,all,82,33,14,4,414,20,107,6,0.2584541062801932,0.04154589371980677,no,0,434,20,-0.033333333333333326,-0.09578743961352654
Adam Lowry,8476392,Winnipeg Jets,2018,all,45,21,17,2,45,17,21,2,0.4666666666666667,-0.34901960784313724,yes,1,424,40,NA,NA
Adam Lowry,8476392,Winnipeg Jets,2019,all,78,23,6,1,123,23,44,3,0.35772357723577236,-0.2272887946270767,yes,1,424,40,0.012787723785166238,0.12173081321606052
Adam Lowry,8476392,Winnipeg Jets,2020,all,49,10,4,3,172,27,54,6,0.313953488372093,-0.09173126614987082,no,0,424,40,0.09178743961352656,0.1355575284772059
Adam Lowry,8476392,Winnipeg Jets,2021,all,52,24,8,4,224,35,78,10,0.3482142857142857,-0.0625,no,0,424,40,0.06349206349206349,0.029231266149870816
Adam Lowry,8476392,Winnipeg Jets,2023,all,81,34,5,5,384,40,133,15,0.3463541666666667,0.028645833333333315,no,0,424,40,0.0892857142857143,0.09114583333333331
Adam McQuaid,8471717,Boston Bruins,2018,all,38,4,11,2,38,11,4,2,0.10526315789473684,0.07655502392344499,no,0,49,11,NA,NA
Adam Pelech,8476917,New York Islanders,2019,all,78,21,8,2,154,8,40,2,0.2597402597402597,-0.009740259740259716,yes,0,439,54,NA,NA
Adam Pelech,8476917,New York Islanders,2020,all,38,9,21,5,192,29,49,7,0.2552083333333333,-0.013829022988505718,yes,0,439,54,-0.008620689655172403,-0.004088763248246002
