season,team,gp,toi_gp_ev,w,l,otl,row,points,point_percent,cf_60_ev,ca_60_ev,cf_percent_ev,gf_60_ev,ga_60_ev,gf_percent_ev,x_gf_60_ev,x_ga_60_ev,x_gf_percent_ev,sh_percent_ev,sv_percent_ev,pdo_ev,toi_gp_pp,cf_60_pp,ca_60_pp,cf_percent_pp,gf_60_pp,ga_60_pp,gf_percent_pp,x_gf_60_pp,x_ga_60_pp,x_gf_percent_pp,sh_percent_pp,sv_percent_pp,pdo_pp,toi_gp_pk,cf_60_pk,ca_60_pk,cf_percent_pk,gf_60_pk,ga_60_pk,gf_percent_pk,x_gf_60_pk,x_ga_60_pk,x_gf_percent_pk,sh_percent_pk,sv_percent_pk,pdo_pk
2012,Philadelphia Flyers,82,47:57:00,47,26,9,43,103,0.628,58.41,55.37,51.33,2.85,2.4,54.36,2.67,2.43,52.37,9.08,91.68,1.008,06:44:00,98.76,12.7,88.61,7.16,0.87,89.19,7.76,0.67,92.06,13.69,88.06,1.018,06:18:00,16.6,88.13,15.85,0.58,6.73,7.94,1.13,6.23,15.32,5.21,84.32,0.895
2012,Boston Bruins,82,50:32:00,49,29,4,40,102,0.622,60.57,52.07,53.77,3.03,2.24,57.42,2.39,2.06,53.7,9.33,92.31,1.016,05:06:00,95.98,12.77,88.26,6.17,0.14,97.73,5.62,0.53,91.42,13.07,98.28,1.113,05:11:00,15.5,91.33,14.51,0.99,6.06,14,0.87,5.98,12.64,8.64,88.28,0.969
2012,Montreal Canadiens,82,48:39:00,31,35,16,26,78,0.476,53.6,57.9,48.07,2.3,2.54,47.52,2.11,2.36,47.18,8.32,91.51,0.998,06:09:00,91.97,15.8,85.34,5.11,0.95,84.31,6.34,1.04,85.94,10.31,91.3,1.016,06:21:00,15.42,86.19,15.18,1.15,4.14,21.74,0.95,5.37,14.99,12.05,89.6,1.016
2012,Toronto Maple Leafs,82,50:45:00,35,37,10,31,80,0.488,55.77,58.22,48.93,2.46,2.84,46.47,2.28,2.52,47.5,8.88,90.64,0.995,05:17:00,90.9,13.56,87.02,6.78,0.83,89.09,5.89,0.82,87.73,14.37,91.67,1.06,04:45:00,13.52,104.91,11.41,0.77,8.45,8.33,0.79,6.81,10.4,9.43,84.29,0.937
2012,Pittsburgh Penguins,82,49:36:00,51,25,6,42,108,0.659,60.81,50.74,54.52,3.02,2.57,54.09,2.66,2.24,54.31,9.1,90.58,0.997,05:43:00,117.59,14.71,88.88,7.17,1.15,86.15,7.59,1.08,87.52,12.25,89.16,1.014,05:35:00,14.92,81.92,15.41,1.44,4.32,25,1.02,5.3,16.15,16.67,89.46,1.061
2012,Vancouver Canucks,82,49:42:00,51,22,9,43,111,0.677,57.83,51.77,52.77,2.61,2.15,54.8,2.21,2.34,48.59,8.52,92.84,1.014,05:35:00,109.15,10.59,91.16,7.45,0.52,93.44,6.93,0.6,91.98,13.01,93.33,1.063,05:56:00,13.44,88.16,13.23,0.86,4.93,14.89,0.73,6.48,10.07,10.45,90.54,1.01
2012,Tampa Bay Lightning,82,50:03:00,38,36,8,35,84,0.512,50.71,56.67,47.22,2.76,3.03,47.73,2.15,2.38,47.48,10.2,89.75,0.999,05:20:00,84.95,18.06,82.47,5.61,1.64,77.36,5.63,1.03,84.49,12.81,84.21,0.97,05:27:00,10.32,104.96,8.95,0.27,7.91,3.28,0.78,6.88,10.2,3.7,85.47,0.892
2012,Carolina Hurricanes,82,50:01:00,33,33,16,32,82,0.5,56.37,60.73,48.14,2.19,2.69,44.91,2.45,2.76,47.04,7.5,91.67,0.992,05:53:00,96.1,16.66,85.23,6.09,0.5,92.45,7.37,1.26,85.42,11.81,95.7,1.075,04:55:00,16.93,102,14.23,1.63,7.28,18.33,1.66,7.54,18.03,14.1,85.96,1.001
2012,Ottawa Senators,82,49:13:00,41,31,10,35,92,0.561,60.46,55.33,52.21,2.75,2.54,51.97,2.41,2.42,49.84,8.7,91.78,1.005,05:24:00,101.38,15.7,86.59,6.63,0.95,87.5,6.19,0.94,86.86,13.46,91.57,1.05,06:17:00,15.46,92.89,14.27,1.05,6.63,13.64,1.16,6.31,15.51,10.98,87.66,0.986
2012,Detroit Red Wings,82,49:35:00,48,28,6,39,102,0.622,57.09,47.15,54.77,2.79,2.02,57.98,2.4,2.03,54.2,8.73,92.35,1.011,05:53:00,103.07,11.18,90.22,5.96,1.37,81.36,6.79,0.79,89.54,11.62,82.54,0.942,05:28:00,11.5,95.36,10.76,0.27,6.69,3.85,0.64,6.69,8.75,3.33,85.84,0.892
2012,Nashville Predators,82,51:03:00,48,26,8,43,104,0.634,49.22,56.43,46.59,2.48,2.31,51.8,2.26,2.25,50.13,9.05,92.41,1.015,04:52:00,79.57,9.59,89.24,8.09,0.6,93.1,5.64,0.77,87.92,17.65,91.84,1.095,04:49:00,8.79,107.28,7.57,0.61,6.06,9.09,0.45,7.04,5.96,9.76,88.67,0.984
2012,Columbus Blue Jackets,82,48:47:00,29,46,7,25,65,0.396,49.78,54.86,47.57,2.11,2.77,43.25,2.13,2.29,48.14,7.48,91.13,0.986,06:33:00,100.12,10.15,90.8,5.46,0.89,85.96,6.79,0.59,91.97,9.74,88.06,0.978,05:17:00,14.92,90.07,14.21,0.97,8.84,9.86,1.03,6.14,14.41,10.61,83.29,0.939
2012,Anaheim Ducks,82,49:42:00,34,36,12,31,80,0.488,52.01,54.74,48.72,2.24,2.46,47.65,2.27,2.43,48.23,8.32,91.41,0.997,05:26:00,105.58,12.78,89.2,6.05,0.54,91.84,7.83,1.15,87.24,10.98,92.45,1.034,05:39:00,11.5,99.85,10.32,0.52,6.72,7.14,0.63,6.81,8.43,7.27,85.91,0.932
2012,Buffalo Sabres,82,50:45:00,39,32,11,32,89,0.543,52.71,55.1,48.89,2.33,2.41,49.24,2.14,2.37,47.5,8.26,92.04,1.003,05:11:00,100.21,15.06,86.94,6.19,0.99,86.27,6.76,1.04,86.71,11.64,90.91,1.025,05:08:00,10.82,97.51,9.99,0.71,6.69,9.62,0.44,6.41,6.45,8.93,88.04,0.97
2012,Chicago Blackhawks,82,50:39:00,45,26,11,38,101,0.616,56.74,50.54,52.89,2.74,2.56,51.77,2.49,2.2,53.09,8.79,90.86,0.996,05:47:00,86.35,9.86,89.75,5.31,0.38,93.33,5.35,0.61,89.79,11.51,92.86,1.044,04:43:00,12.23,100.62,10.84,1.08,7.89,12.07,1.05,7.2,12.74,13.46,85.95,0.994
2012,Dallas Stars,82,49:55:00,42,35,5,35,89,0.543,55.59,56.75,49.48,2.43,2.37,50.61,2.14,2.27,48.48,8.4,92.02,1.004,04:57:00,83.6,14.03,85.63,4.87,0.44,91.67,5.17,0.8,86.59,12.09,94.34,1.064,05:57:00,13.88,100.13,12.18,0.61,6.39,8.77,0.72,6.72,9.66,7.69,88.29,0.96
2012,New York Rangers,82,50:00:00,51,24,7,47,109,0.665,50.43,54.8,47.92,2.49,2.06,54.66,2.61,2.37,52.35,8.88,92.5,1.014,05:39:00,89.28,13.2,87.12,5.69,0.52,91.67,6.94,0.98,87.61,12.54,93.1,1.056,05:17:00,15.06,98.93,13.21,1.11,4.97,18.18,1.31,6.39,17.05,11.27,89.41,1.007
2012,Los Angeles Kings,82,49:02:00,40,27,15,34,95,0.579,59.67,50.21,54.3,1.92,1.95,49.62,2.36,2.12,52.62,6.26,92.61,0.989,05:54:00,99.44,9.91,90.94,6.07,0.25,96.08,6.91,0.5,93.21,12.53,95.74,1.083,06:14:00,8.8,93.42,8.61,1.06,4.34,19.57,0.66,6.13,9.77,16.67,91.36,1.08
2012,New Jersey Devils,82,50:19:00,48,28,6,36,102,0.622,46.21,45.73,50.26,2.24,2.38,48.43,2.12,1.98,51.64,8.51,90.94,0.995,05:25:00,85.42,13.2,86.61,6.2,1.75,77.97,5.94,0.95,86.24,13.14,80.88,0.94,05:22:00,17.68,80.52,18.01,1.9,3.67,34.15,1.36,5.28,20.51,15.73,91.46,1.072
2012,Washington Capitals,82,50:30:00,42,32,8,38,92,0.561,53.01,56.25,48.51,2.46,2.4,50.6,2.13,2.21,49.07,8.89,91.8,1.007,04:53:00,95.35,14.97,86.43,6.29,1.35,82.35,6.13,1.05,85.41,12.65,86.76,0.994,05:24:00,10.57,101.72,9.41,0.41,6.77,5.66,0.56,6.44,7.94,6.52,86.81,0.933
2012,Florida Panthers,82,50:46:00,38,26,18,32,94,0.573,52.13,53.83,49.2,2.02,2.32,46.51,2.05,2.25,47.64,7.06,92.3,0.994,05:47:00,93.83,10.23,90.17,6.69,0.63,91.38,5.68,0.71,88.87,13.38,90.57,1.039,04:43:00,12.23,95.38,11.37,0.62,7.59,7.55,0.56,6.85,7.56,7.84,86.35,0.942
2012,New York Islanders,82,51:13:00,34,37,11,27,79,0.482,52.75,57.81,47.71,2.07,2.86,42.03,2.47,2.6,48.68,7.19,90.27,0.975,04:54:00,92.72,16.82,84.65,6.85,0.74,90.2,6.83,1.14,85.67,13.77,92.75,1.065,04:49:00,13.04,99.75,11.56,0.61,6.97,8,0.94,7.22,11.57,7.02,86.63,0.936
2012,St Louis Blues,82,49:52:00,49,22,11,45,109,0.665,56.74,49.84,53.24,2.24,1.64,57.74,2.55,2.09,54.92,7.38,93.75,1.011,05:16:00,104.66,10.95,90.53,6.24,0.42,93.75,6.72,0.54,92.6,12.23,93.33,1.056,05:51:00,12,89.48,11.82,0.75,5,13.04,0.97,5.91,14.1,8.82,88.67,0.975
2012,Minnesota Wild,82,50:20:00,35,36,11,24,81,0.494,48.17,60.59,44.29,1.74,2.35,42.55,2.01,2.31,46.52,6.79,92.35,0.991,05:12:00,91.36,11.67,88.68,5.48,0.56,90.7,6.66,0.76,89.79,11.08,92,1.031,05:48:00,10.33,96.27,9.69,0.63,6.43,8.93,0.92,6.38,12.57,9.62,87.31,0.969
2012,Colorado Avalanche,82,50:41:00,41,35,6,32,88,0.537,57.45,54.11,51.49,2.21,2.4,47.96,2.36,2.37,49.88,7.07,91.88,0.99,04:27:00,96.15,10.99,89.74,6.73,0.66,91.11,6.9,1.02,87.16,12.17,91.11,1.033,05:54:00,14.5,86.76,14.32,0.62,5.83,9.62,0.84,5.47,13.3,5.95,86.05,0.92
2012,Calgary Flames,82,50:33:00,37,29,16,34,90,0.549,50.63,56.43,47.29,2.14,2.43,46.84,2.25,2.34,48.96,7.94,92.05,1,05:15:00,86.97,13.34,86.7,6.39,0.83,88.46,5.9,0.87,87.18,13.14,88.68,1.018,05:15:00,10.72,99.29,9.75,0.42,5.85,6.67,0.64,6.91,8.42,6.82,88.37,0.952
2012,Phoenix Coyotes,82,50:44:00,42,27,13,36,97,0.591,56.49,56.32,50.08,2.45,2.18,52.96,2.41,2.42,49.91,8.18,92.97,1.011,05:19:00,81.79,11.96,87.24,4.67,0.82,85,5.31,0.85,86.26,11.53,89.47,1.01,05:03:00,13.29,104.74,11.26,0.72,5.2,12.2,0.54,7.61,6.59,9.43,90.65,1.001
2012,San Jose Sharks,82,51:14:00,43,29,10,34,96,0.585,59.94,55.32,52.01,2.27,2.13,51.62,2.53,2.15,54.03,7.02,92.44,0.995,05:31:00,120.11,10.73,91.8,7.55,0.4,95,8.38,0.48,94.6,12,94.64,1.066,04:24:00,9.45,104.56,8.28,0.5,8.62,5.45,0.64,6.85,8.49,9.09,83.54,0.926
2012,Winnipeg Jets,82,49:55:00,37,35,10,33,84,0.512,56.57,55.47,50.49,2.54,2.55,49.86,2.45,2.46,49.89,8.35,91.23,0.996,05:07:00,95.01,12.84,88.1,6.42,1,86.54,6.47,0.86,88.23,13.43,87.72,1.012,05:44:00,13.76,103.17,11.76,0.38,7.39,4.92,0.86,7.58,10.17,4.69,86.38,0.911
